home,away,homePoints,awayPoints,homeBlocks,homeDefensiveRebounds,homeSteals,homeTurnoverPoints,homeDisqualifications,homeFlagrantFouls,homeFouls,homeEjections,homeTechnicalFouls,homeRebounds,homeAssistTurnoverRatio,homeStealFoulRatio,homeBlockFoulRatio,homeTeamAssistTurnoverRatio,homeStealTurnoverRatio,homeGamesPlayed,homeGamesStarted,homeDoubleDouble,homeTripleDouble,homeAssists,homeFieldGoals,homeFieldGoalsAttempted,homeFieldGoalsMade,homeFieldGoalPct,homeFreeThrows,homeFreeThrowPct,homeFreeThrowsAttempted,homeFreeThrowsMade,homeOffensiveRebounds,homeTurnovers,homeThreePointFieldGoalsAttempted,homeThreePointFieldGoalsMade,homeTeamTurnovers,homePointsInPaint,homeFastBreakPoints,homeOffensiveReboundPct,homeEstimatedPossessions,homePointsPerEstimatedPossessions,homeThreePointFieldGoalPct,homeTwoPointFieldGoalsMade,homeTwoPointFieldGoalsAttempted,homeTwoPointFieldGoalPct,homeShootingEfficiency,homeScoringEfficiency,homeLargestLead,awayBlocks,awayDefensiveRebounds,awaySteals,awayTurnoverPoints,awayDisqualifications,awayFlagrantFouls,awayFouls,awayEjections,awayTechnicalFouls,awayRebounds,awayAssistTurnoverRatio,awayStealFoulRatio,awayBlockFoulRatio,awayTeamAssistTurnoverRatio,awayStealTurnoverRatio,awayGamesPlayed,awayGamesStarted,awayDoubleDouble,awayTripleDouble,awayAssists,awayFieldGoals,awayFieldGoalsAttempted,awayFieldGoalsMade,awayFieldGoalPct,awayFreeThrows,awayFreeThrowPct,awayFreeThrowsAttempted,awayFreeThrowsMade,awayOffensiveRebounds,awayTurnovers,awayThreePointFieldGoalsAttempted,awayThreePointFieldGoalsMade,awayTeamTurnovers,awayPointsInPaint,awayFastBreakPoints,awayOffensiveReboundPct,awayEstimatedPossessions,awayPointsPerEstimatedPossessions,awayThreePointFieldGoalPct,awayTwoPointFieldGoalsMade,awayTwoPointFieldGoalsAttempted,awayTwoPointFieldGoalPct,awayShootingEfficiency,awayScoringEfficiency,awayLargestLead
2,201,86,68,6,27,9,0,0,0,19,0,0,41,1.2,0.47368422,0.31578946,0,0.9,1,0,0,0,12,0.460317,63,29,46.0317462682724,0.846154,84.61538553237915,26,22,14,10,23,6,0,0,0,0.4117647,69.4,1.2391931,26.0869562625885,23,40,57.499998807907104,0.50793654,1.3650794,20,3,20,7,0,0,0,21,0,0,29,0.71428573,0.33333334,0.14285715,0,0.5,1,0,0,0,10,0.388889,54,21,38.88888955116272,0.72,72.00000286102295,25,18,9,14,27,8,0,0,0,0.27272728,69,0.98550725,29.629629850387573,13,27,48.148149251937866,0.46296296,1.2592592,0
2,333,100,81,10,36,7,0,0,0,18,0,0,47,1.5,0.3888889,0.5555556,0,0.875,1,0,0,0,12,0.484848,66,32,48.48484992980957,0.794872,79.48718070983887,39,31,11,8,21,5,0,0,0,0.32352942,78.6,1.2722646,23.80952388048172,27,45,60.00000238418579,0.52272725,1.5151515,22,5,27,6,0,0,0,30,0,0,40,1.1818181,0.2,0.16666667,13,0.54545456,1,0,0,0,13,0.357143,70,25,35.71428656578064,0.772727,77.27272510528564,22,17,13,11,37,14,1,0,0,0.2888889,77.8,1.041131,37.837839126586914,11,33,33.33333432674408,0.45714286,1.1571429,4
61,2,72,74,3,24,10,0,0,0,13,0,0,35,1.6,0.7692308,0.23076923,0,1,1,0,0,0,16,0.40678,59,24,40.67796468734741,0.689655,68.96551847457886,29,20,11,10,14,4,0,0,0,0.31428573,69.6,1.0344828,28.57142984867096,20,45,44.44444477558136,0.44067797,1.220339,2,9,28,8,0,0,0,20,0,0,46,0.71428573,0.4,0.45,0,0.5714286,1,0,0,0,10,0.397059,68,27,39.70588147640228,0.777778,77.77777910232544,18,14,18,14,26,6,0,0,0,0.4390244,71.2,1.0393258,23.076923191547394,21,42,50,0.44117647,1.0882353,15
2,245,75,58,14,34,6,0,0,0,19,0,0,52,1.6363636,0.31578946,0.7368421,18,0.54545456,1,0,0,0,18,0.397059,68,27,39.70588147640228,0.642857,64.28571343421936,28,18,18,11,25,3,1,0,0,0.4390244,73.2,1.0245903,11.999999731779099,24,43,55.81395626068115,0.41911766,1.1029412,25,5,27,6,0,0,0,21,0,0,45,0.75,0.2857143,0.23809524,9,0.5,1,0,0,0,9,0.271429,70,19,27.142858505249023,0.809524,80.95238208770752,21,17,18,12,22,3,1,0,0,0.3529412,73.4,0.7901907,13.636364042758942,16,48,33.33333432674408,0.29285714,0.82857144,0
8,2,80,76,5,31,11,0,0,0,17,0,0,42,0.90909094,0.64705884,0.29411766,0,1,1,0,0,0,10,0.343284,67,23,34.32835936546326,0.8125,81.25,32,26,11,11,27,8,0,0,0,0.25,79.8,1.0025063,29.629629850387573,15,40,37.5,0.40298507,1.1940298,12,9,36,5,0,1,0,28,0,0,60,0.42105263,0.17857143,0.32142857,0,0.2631579,1,0,0,0,8,0.375,80,30,37.5,0.470588,47.05882370471954,17,8,24,19,32,8,0,0,0,0.48,81.8,0.9290953,25,22,48,45.83333432674408,0.425,0.95,5
5,2413,85,71,3,16,12,28,2,0,24,0,0,21,2.2222223,0.5,0.125,0,1.3333334,1,0,0,0,20,0.540984,61,33,54.09836173057556,0.642857,64.28571343421936,14,9,5,9,25,10,0,0,0,0.17857143,70.6,1.203966,40.00000059604645,23,36,63.88888955116272,0.6229508,1.3934426,27,3,25,3,9,0,0,17,0,0,38,0.59090906,0.1764706,0.1764706,0,0.13636364,1,0,0,0,13,0.479167,48,23,47.91666567325592,0.730769,73.07692170143127,26,19,13,22,19,6,0,0,0,0.52,67.4,1.0534124,31.578946113586426,17,29,58.62069129943848,0.5416667,1.4791666,0
2579,5,66,63,5,27,9,13,1,0,19,0,0,37,0.54545456,0.47368422,0.2631579,0,0.4090909,1,0,0,0,12,0.423077,52,22,42.307692766189575,0.7,69.9999988079071,20,14,10,22,17,8,0,24,8,0.33333334,72,0.9166667,47.05882370471954,14,35,40.00000059604645,0.5,1.2692307,16,1,22,14,21,0,0,19,0,0,36,0.6,0.7368421,0.05263158,0,0.93333334,1,0,0,0,9,0.344262,61,21,34.42623019218445,0.625,62.5,24,15,14,15,22,6,0,26,4,0.35,71.6,0.8798883,27.272728085517883,15,39,38.46153914928436,0.39344263,1.0327868,1
5,2427,102,77,5,24,12,21,0,0,19,0,0,39,2.6,0.6315789,0.2631579,0,2.4,1,0,0,0,13,0.56338,71,40,56.338030099868774,0.695652,69.5652186870575,23,16,15,5,16,6,0,54,17,0.48387095,70.2,1.4529915,37.5,34,55,61.81818246841431,0.6056338,1.4366198,31,5,18,3,8,0,0,13,0,0,28,0.8235294,0.23076923,0.3846154,7,0.1764706,1,0,0,0,14,0.457627,59,27,45.76271176338196,0.684211,68.42105388641357,19,13,10,17,19,10,2,30,8,0.3125,75.6,1.0185186,52.63158082962036,17,40,42.500001192092896,0.5423729,1.3050847,1
5,2519,98,61,8,24,23,40,0,0,9,0,0,43,1.8888888,2.5555556,0.8888889,0,2.5555556,1,0,0,0,17,0.487805,82,40,48.78048896789551,0.571429,57.14285969734192,14,8,19,9,33,10,0,52,27,0.45238096,77.6,1.2628866,30.30303120613098,30,49,61.22449040412903,0.5487805,1.195122,47,0,28,2,8,0,0,16,0,0,43,0.4827586,0.125,0,7,0.06896552,1,0,0,0,14,0.377049,61,23,37.704917788505554,0.75,75,8,6,15,29,22,9,2,18,4,0.39473686,80.2,0.76059854,40.909090638160706,14,39,35.89743673801422,0.45081967,1,3
5,2010,86,41,2,35,12,31,0,0,12,0,0,48,1.1764706,1,0.16666667,0,0.7058824,1,0,0,0,20,0.483333,60,29,48.33333194255829,0.714286,71.42857313156128,21,15,13,17,26,13,0,30,14,0.41935483,72.4,1.1878452,50,16,34,47.05882370471954,0.59166664,1.4333333,47,4,21,8,8,0,0,16,0,0,30,0.2857143,0.5,0.25,6,0.3809524,1,0,0,0,6,0.254237,59,15,25.423729419708252,1,100,8,8,9,21,14,3,1,14,4,0.20454545,75.2,0.5452128,21.42857164144516,12,45,26.66666805744171,0.27966103,0.69491524,2
167,5,73,86,2,18,6,19,0,0,16,0,0,27,0.7,0.375,0.125,0,0.3,1,0,0,0,14,0.471698,53,25,47.16981053352356,0.625,62.5,24,15,9,20,19,8,0,28,11,0.32142857,73.6,0.9918479,42.105263471603394,17,34,50,0.5471698,1.3773584,2,6,25,15,25,1,0,23,0,0,41,0.7368421,0.65217394,0.26086956,0,0.7894737,1,0,0,0,14,0.492308,65,32,49.23076927661896,0.866667,86.66666746139526,15,13,16,19,25,9,0,34,21,0.4848485,74,1.1621622,36.000001430511475,23,40,57.499998807907104,0.56153846,1.323077,14
5,2193,70,56,5,20,10,18,0,0,9,0,0,35,2.5,1.1111112,0.5555556,0,1.6666666,1,0,0,0,15,0.405797,69,28,40.57970941066742,0.8,80.0000011920929,15,12,15,6,17,2,0,42,13,0.36585367,66,1.060606,11.764705926179886,26,52,50,0.42028984,1.0144928,17,6,25,4,6,1,0,16,0,0,45,0.6111111,0.25,0.375,5.5,0.22222222,1,0,0,0,11,0.338462,65,22,33.84615480899811,0.833333,83.33333134651184,6,5,20,18,23,7,2,30,5,0.4651163,67.4,0.8308605,30.434781312942505,15,42,35.71428656578064,0.3923077,0.86153847,13
5,2539,61,63,4,21,7,18,1,0,23,0,0,29,0.875,0.3043478,0.17391305,0,0.875,1,0,0,0,7,0.383333,60,23,38.333332538604736,0.705882,70.58823704719543,17,12,8,8,14,3,0,22,12,0.21621622,66.8,0.9131736,21.42857164144516,20,46,43.478259444236755,0.40833333,1.0166667,4,2,32,3,9,0,0,18,0,0,42,0.39130434,0.16666667,0.11111111,9,0.13043478,1,0,0,0,9,0.456522,46,21,45.652174949645996,0.6,60.00000238418579,20,12,10,23,18,9,1,20,8,0.4,68,0.9264706,50,12,28,42.85714328289032,0.5543478,1.3695652,12
139,5,72,77,5,22,8,17,0,0,12,0,0,27,1.1818181,0.6666667,0.41666666,13,0.72727275,1,0,0,0,13,0.489796,49,24,48.97959232330322,0.727273,72.72727489471436,22,16,5,11,19,8,1,28,7,0.2,64.8,1.111111,42.105263471603394,16,30,53.33333611488342,0.5714286,1.4693878,10,3,23,9,18,0,0,18,0,0,38,1.2307693,0.5,0.16666667,8,0.6923077,1,0,0,0,16,0.484375,64,31,48.4375,0.545455,54.54545617103577,11,6,15,13,23,9,2,32,9,0.45454547,68.4,1.125731,39.13043439388275,22,41,53.658539056777954,0.5546875,1.203125,9
5,2398,103,29,6,36,17,44,0,0,13,0,0,52,1.1818181,1.3076923,0.46153846,0,1.5454545,1,0,0,0,13,0.493827,81,40,49.38271641731262,0.857143,85.71428656578064,14,12,16,11,30,11,0,52,20,0.3902439,81.6,1.262255,36.666667461395264,29,51,56.86274766921997,0.5617284,1.2716049,74,5,25,6,8,0,0,14,0,0,34,0.12903225,0.42857143,0.35714287,1,0.19354838,1,0,0,0,4,0.192982,57,11,19.298245012760162,0.666667,66.66666865348816,6,4,9,31,23,3,4,14,14,0.19565217,85.4,0.33957845,13.04347813129425,8,34,23.52941185235977,0.21929824,0.50877196,0
