id,home,away
401377429,25,12
401405170,26,12
401377441,12,26
401377448,12,30
401365592,13,2449
401372604,13,16
401371133,2541,13
401374306,13,111910
401378793,13,2447
401371403,2856,13
401374297,301,13
401384962,13,70
401371206,2501,13
401373368,2502,13
401373880,26,13
401372393,278,13
401373655,13,2239
401373666,2463,13
401373651,13,299
401373663,2540,13
401373689,13,62
401373676,13,302
401373681,2934,13
401373673,13,27
401373705,2239,13
401373696,28,13
401373701,300,13
401373711,299,13
401373716,13,2463
401372602,16,3078
401372605,16,28
401372508,16,149
401372606,16,302
401372532,16,147
401372603,254,16
401372609,27,16
401372608,204,16
401372611,253,16
401372610,16,2381
401372594,2458,16
401372578,2464,16
401372612,16,2502
401398462,204,16
401405378,2464,16
401372422,331,16
401372448,70,16
401372495,16,304
401372581,16,2464
401372613,16,2692
401372614,2502,16
401372598,16,2458
401372615,16,253
401371251,252,21
401372471,21,250
401372409,21,27
401371994,21,46
401372135,130,21
401377134,21,30
401372473,21,2239
401372472,21,299
401371209,2608,21
401372474,21,28
401364717,2439,21
401364721,21,278
401364723,21,36
401364728,2751,21
401364738,21,2439
401364744,21,68
401408372,21,2439
401378800,328,21
401364759,21,167
401408922,21,2440
401364773,21,2005
401364767,36,21
401364768,23,21
401364778,21,328
401372475,23,2239
401371373,2856,23
401372476,24,23
401372310,251,23
401372477,23,2458
401371284,2492,23
401372478,23,233
401365616,23,155
401371291,23,279
401371208,2501,23
401364718,23,2439
401364714,328,23
401403070,23,3246
401371143,23,2541
401405232,23,2439
401364731,278,23
401364735,23,36
401364743,2439,23
401364752,23,2005
401364740,2751,23
401364754,167,23
401364760,23,278
401408920,328,23
401364764,68,23
401371131,2541,24
401372351,24,2674
401373875,24,2627
401372981,24,2448
401371980,239,24
401370932,24,2483
401370901,38,24
401376696,24,2335
401373877,24,251
401373876,24,159
401372551,24,2751
401377404,24,30
401402814,24,30
401377408,265,24
401376691,238,24
401377414,264,24
401377433,30,24
401377438,26,24
401405171,24,25
401377443,24,265
401377452,24,264
401408897,24,26
401372480,2439,25
401373623,25,28
401373871,25,301
401372618,25,253
401371841,25,57
401372389,25,278
401376644,25,2550
401370905,25,204
401372467,25,304
401370930,254,25
401371139,25,2541
401373872,25,159
401371302,25,279
401377400,25,30
401377403,25,26
401377413,265,25
401377407,264,25
401377432,26,25
401377446,25,264
401377437,30,25
401377447,25,265
401377453,204,25
401369155,26,2454
401373629,26,299
401372032,26,222
401373878,26,2934
401371267,26,2250
401372482,2439,26
401369163,91,26
401370902,26,38
401370931,264,26
401373879,26,2011
401372005,269,26
401402090,26,299
401377410,26,2483
401377417,26,204
401377423,254,26
401377427,38,26
401373631,301,27
401373627,27,3167
401373632,27,3246
401372836,2638,27
401371201,2608,27
401373134,27,50
401373636,2483,27
401372441,27,70
401371420,27,2856
401373648,302,27
401373654,62,27
401373668,27,300
401373679,2934,27
401373687,2463,27
401373686,2540,27
401373695,27,299
401373700,27,2239
401373703,27,302
401373664,27,28
401373708,27,62
401373719,300,27
401373630,28,3096
401371576,28,45
401372505,149,28
401372806,2572,28
401372231,350,28
401365046,28,2199
401365630,2172,28
401373641,2547,28
401373645,28,110450
401373658,28,2463
401373652,28,2540
401373665,302,28
401373670,300,28
401373677,62,28
401373684,28,299
401373690,2239,28
401373702,28,2934
401373704,2463,28
401373713,2540,28
401373718,28,302
401373881,30,2463
401371382,30,3101
401369150,526,30
401373882,218,30
401371771,2603,30
401370903,30,254
401370907,265,30
401373883,30,2198
401373640,30,299
401373643,30,300
401369897,30,59
401373884,197,30
401377418,30,2483
401377412,30,204
401377420,38,30
401377425,254,30
401372381,36,2029
401372382,36,596
401365589,36,198
401369814,36,71
401372383,36,2458
401376740,156,36
401372384,36,2031
401371765,36,344
401371939,202,36
401371204,36,2608
401364709,167,36
401364722,36,2005
401364724,68,36
401378799,36,328
401364739,36,167
401364747,2005,36
401364751,36,2440
401364757,36,2439
401364758,2751,36
401364769,2440,36
401364775,36,278
401376746,111,36
401372526,38,147
401370954,38,311
401369817,38,79
401372402,38,167
401376739,38,2184
401376742,38,225
401371896,38,2633
401372414,38,331
401373028,38,270
401373873,38,2934
401372252,38,2305
401377390,2483,38
401377393,204,38
401401030,2483,38
401377397,38,265
401377406,38,264
401408541,2483,38
401377434,264,38
401377440,265,38
401370947,41,2066
401372026,41,2115
401372027,41,112358
401370795,41,2154
401372028,41,2379
401382752,127,41
401382754,41,2670
401373512,41,2507
401371785,41,179
401373517,269,41
401372029,41,2755
401372030,277,41
401373528,41,2086
401373540,2550,41
401373543,41,2599
401373547,2507,41
401402410,41,2086
401373555,2086,41
401373562,41,46
401373569,305,41
401373582,41,269
401373571,41,156
401373577,222,41
401373521,2752,41
401374288,2681,42
401373308,349,42
401373377,42,104
401372650,2097,42
401381650,2771,42
401373789,2026,42
401373785,2597,42
401372484,2439,42
401372525,2115,42
401372644,42,2598
401372328,2529,42
401373020,2737,42
401369632,42,2619
401374418,172,42
401369634,311,42
401369648,2349,42
401369642,42,261
401369643,2066,42
401369655,42,160
